transaction_id,date,description,merchant,amount,currency,balance,account_id,label_category
TX-1068,2025-03-05,REWE card payment,REWE,-77.37,EUR,6563.03,CHK-001,Groceries
TX-1060,2025-03-06,REWE card payment,REWE,-38.64,EUR,7061.06,CHK-001,Groceries
TX-1052,2025-03-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,7388.41,CHK-001,Entertainment
TX-1053,2025-03-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,7377.42,CHK-001,Entertainment
TX-1054,2025-03-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,7337.43,CHK-001,Utilities
TX-1069,2025-03-12,BURGER HOUSE card payment,BURGER HOUSE,-37.09,EUR,6525.94,CHK-001,Dining
TX-1058,2025-03-13,REWE card payment,REWE,-23.46,EUR,7161.15,CHK-001,Groceries
TX-1150,2025-03-14,UNKNOWN WIRE TRANSFER unusual amount,UNKNOWN WIRE TRANSFER,-1850.0,EUR,6815.87,CHK-001,Shopping
TX-1066,2025-03-14,ALDI card payment,ALDI,-77.7,EUR,6690.09,CHK-001,Groceries
TX-1055,2025-03-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,7245.43,CHK-001,Utilities
TX-1065,2025-03-18,SUSHI BAR card payment,SUSHI BAR,-12.42,EUR,6767.79,CHK-001,Dining
TX-1073,2025-03-18,ZARA card payment,ZARA,-146.81,EUR,5945.73,CHK-001,Shopping
TX-1061,2025-03-19,APOTHEKE card payment,APOTHEKE,-105.62,EUR,6955.44,CHK-001,Healthcare
TX-1057,2025-03-19,APOTHEKE card payment,APOTHEKE,-52.92,EUR,7184.61,CHK-001,Healthcare
TX-1071,2025-03-19,DOCTOR CLINIC card payment,DOCTOR CLINIC,-92.78,EUR,6311.79,CHK-001,Healthcare
TX-1059,2025-03-22,DB BAHN card payment,DB BAHN,-61.45,EUR,7099.7,CHK-001,Transport
TX-1062,2025-03-23,APOTHEKE card payment,APOTHEKE,-90.31,EUR,6865.13,CHK-001,Healthcare
TX-1064,2025-03-25,Uber card payment,Uber,-49.28,EUR,6780.21,CHK-001,Transport
TX-1072,2025-03-25,AMAZON card payment,AMAZON,-219.25,EUR,6092.54,CHK-001,Shopping
TX-1063,2025-03-27,AMAZON card payment,AMAZON,-35.64,EUR,6829.49,CHK-001,Shopping
TX-1070,2025-03-27,AMAZON card payment,AMAZON,-121.37,EUR,6404.57,CHK-001,Shopping
TX-1074,2025-03-27,REWE card payment,REWE,-90.33,EUR,5855.4,CHK-001,Groceries
TX-1056,2025-03-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,7237.53,CHK-001,Bank Fees
TX-1075,2025-04-01,ACME BANK SALARY Apr,ACME BANK SALARY,3200.0,EUR,9055.4,CHK-001,Salary
TX-1076,2025-04-03,LANDLORD RENT Apr,LANDLORD RENT,-1200.0,EUR,7855.4,CHK-001,Rent
TX-1088,2025-04-04,AMAZON card payment,AMAZON,-203.78,EUR,6999.81,CHK-001,Shopping
TX-1095,2025-04-06,DB BAHN card payment,DB BAHN,-6.02,EUR,6665.81,CHK-001,Transport
TX-1084,2025-04-06,SUSHI BAR card payment,SUSHI BAR,-54.01,EUR,7476.13,CHK-001,Dining
TX-1077,2025-04-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,7839.41,CHK-001,Entertainment
TX-1078,2025-04-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,7828.42,CHK-001,Entertainment
TX-1083,2025-04-09,DOCTOR CLINIC card payment,DOCTOR CLINIC,-104.3,EUR,7530.14,CHK-001,Healthcare
TX-1099,2025-04-10,DOCTOR CLINIC card payment,DOCTOR CLINIC,-15.31,EUR,6513.24,CHK-001,Healthcare
TX-1087,2025-04-10,Lime card payment,Lime,-42.61,EUR,7203.59,CHK-001,Transport
TX-1082,2025-04-10,BURGER HOUSE card payment,BURGER HOUSE,-54.09,EUR,7634.44,CHK-001,Dining
TX-1086,2025-04-11,APOTHEKE card payment,APOTHEKE,-11.47,EUR,7246.2,CHK-001,Healthcare
TX-1079,2025-04-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,7788.43,CHK-001,Utilities
TX-1091,2025-04-13,DOCTOR CLINIC card payment,DOCTOR CLINIC,-102.66,EUR,6835.56,CHK-001,Healthcare
TX-1080,2025-04-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,7696.43,CHK-001,Utilities
TX-1098,2025-04-17,DB BAHN card payment,DB BAHN,-32.31,EUR,6528.55,CHK-001,Transport
TX-1089,2025-04-18,ZARA card payment,ZARA,-36.17,EUR,6963.64,CHK-001,Shopping
TX-1094,2025-04-20,MEDIA MARKT card payment,MEDIA MARKT,-37.73,EUR,6671.83,CHK-001,Shopping
TX-1092,2025-04-21,DB BAHN card payment,DB BAHN,-35.4,EUR,6800.16,CHK-001,Transport
TX-1097,2025-04-22,Lime card payment,Lime,-70.77,EUR,6560.86,CHK-001,Transport
TX-1093,2025-04-22,LIDL card payment,LIDL,-90.6,EUR,6709.56,CHK-001,Groceries
TX-1085,2025-04-24,MEDIA MARKT card payment,MEDIA MARKT,-218.46,EUR,7257.67,CHK-001,Shopping
TX-1096,2025-04-25,DB BAHN card payment,DB BAHN,-34.18,EUR,6631.63,CHK-001,Transport
TX-1090,2025-04-27,SUSHI BAR card payment,SUSHI BAR,-25.42,EUR,6938.22,CHK-001,Dining
TX-1081,2025-04-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,7688.53,CHK-001,Bank Fees
TX-1100,2025-05-01,ACME BANK SALARY May,ACME BANK SALARY,3200.0,EUR,9713.24,CHK-001,Salary
TX-1101,2025-05-03,LANDLORD RENT May,LANDLORD RENT,-1200.0,EUR,8513.24,CHK-001,Rent
TX-1120,2025-05-05,EDEKA card payment,EDEKA,-31.14,EUR,7677.7,CHK-001,Groceries
TX-1119,2025-05-05,COFFEE SHOP card payment,COFFEE SHOP,-38.73,EUR,7708.84,CHK-001,Dining
TX-1111,2025-05-06,BURGER HOUSE card payment,BURGER HOUSE,-10.27,EUR,8132.57,CHK-001,Dining
TX-1123,2025-05-06,MEDIA MARKT card payment,MEDIA MARKT,-237.87,EUR,7381.65,CHK-001,Shopping
TX-1108,2025-05-06,SUSHI BAR card payment,SUSHI BAR,-49.76,EUR,8243.61,CHK-001,Dining
TX-1102,2025-05-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,8497.25,CHK-001,Entertainment
TX-1115,2025-05-08,COFFEE SHOP card payment,COFFEE SHOP,-63.37,EUR,7914.45,CHK-001,Dining
TX-1107,2025-05-08,BURGER HOUSE card payment,BURGER HOUSE,-53.0,EUR,8293.37,CHK-001,Dining
TX-1103,2025-05-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,8486.26,CHK-001,Entertainment
TX-1104,2025-05-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,8446.27,CHK-001,Utilities
TX-1105,2025-05-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,8354.27,CHK-001,Utilities
TX-1112,2025-05-18,Uber card payment,Uber,-58.06,EUR,8074.51,CHK-001,Transport
TX-1110,2025-05-20,REWE card payment,REWE,-53.6,EUR,8142.84,CHK-001,Groceries
TX-1114,2025-05-21,APOTHEKE card payment,APOTHEKE,-45.2,EUR,7977.82,CHK-001,Healthcare
TX-1122,2025-05-21,BURGER HOUSE card payment,BURGER HOUSE,-22.56,EUR,7619.52,CHK-001,Dining
TX-1151,2025-05-21,ATM WITHDRAWAL FOREIGN unusual amount,ATM WITHDRAWAL FOREIGN,-790.0,EUR,6025.87,CHK-001,Bank Fees
TX-1124,2025-05-22,DB BAHN card payment,DB BAHN,-15.74,EUR,7365.91,CHK-001,Transport
TX-1109,2025-05-22,EDEKA card payment,EDEKA,-47.17,EUR,8196.44,CHK-001,Groceries
TX-1117,2025-05-23,APOTHEKE card payment,APOTHEKE,-89.5,EUR,7811.89,CHK-001,Healthcare
TX-1121,2025-05-24,LIDL card payment,LIDL,-35.62,EUR,7642.08,CHK-001,Groceries
TX-1113,2025-05-24,DOCTOR CLINIC card payment,DOCTOR CLINIC,-51.49,EUR,8023.02,CHK-001,Healthcare
TX-1118,2025-05-24,Uber card payment,Uber,-64.32,EUR,7747.57,CHK-001,Transport
TX-1116,2025-05-27,BURGER HOUSE card payment,BURGER HOUSE,-13.06,EUR,7901.39,CHK-001,Dining
TX-1106,2025-05-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,8346.37,CHK-001,Bank Fees
TX-1125,2025-06-01,ACME BANK SALARY Jun,ACME BANK SALARY,3200.0,EUR,10565.91,CHK-001,Salary
TX-1152,2025-06-02,REVERSAL REFUND unusual amount,REVERSAL REFUND,980.0,EUR,7005.87,CHK-001,Salary
TX-1126,2025-06-03,LANDLORD RENT Jun,LANDLORD RENT,-1200.0,EUR,9365.91,CHK-001,Rent
TX-1137,2025-06-04,RMV card payment,RMV,-12.13,EUR,9024.99,CHK-001,Transport
TX-1133,2025-06-05,SUSHI BAR card payment,SUSHI BAR,-12.47,EUR,9114.71,CHK-001,Dining
TX-1132,2025-06-05,APOTHEKE card payment,APOTHEKE,-71.86,EUR,9127.18,CHK-001,Healthcare
TX-1146,2025-06-07,DOCTOR CLINIC card payment,DOCTOR CLINIC,-14.81,EUR,8778.97,CHK-001,Healthcare
TX-1127,2025-06-07,NETFLIX recurring payment,NETFLIX,-15.99,EUR,9349.92,CHK-001,Entertainment
TX-1128,2025-06-08,SPOTIFY recurring payment,SPOTIFY,-10.99,EUR,9338.93,CHK-001,Entertainment
TX-1136,2025-06-11,APOTHEKE card payment,APOTHEKE,-16.31,EUR,9037.12,CHK-001,Healthcare
TX-1142,2025-06-11,SUSHI BAR card payment,SUSHI BAR,-17.49,EUR,8875.04,CHK-001,Dining
TX-1147,2025-06-12,BURGER HOUSE card payment,BURGER HOUSE,-32.84,EUR,8746.13,CHK-001,Dining
TX-1144,2025-06-12,SUSHI BAR card payment,SUSHI BAR,-14.68,EUR,8831.18,CHK-001,Dining
TX-1129,2025-06-12,VODAFONE recurring payment,VODAFONE,-39.99,EUR,9298.94,CHK-001,Utilities
TX-1130,2025-06-15,MAINOVA recurring payment,MAINOVA,-92.0,EUR,9206.94,CHK-001,Utilities
TX-1148,2025-06-15,REWE card payment,REWE,-49.06,EUR,8697.07,CHK-001,Groceries
TX-1143,2025-06-16,DB BAHN card payment,DB BAHN,-29.18,EUR,8845.86,CHK-001,Transport
TX-1135,2025-06-17,LIDL card payment,LIDL,-34.93,EUR,9053.43,CHK-001,Groceries
TX-1138,2025-06-17,Uber card payment,Uber,-19.76,EUR,9005.23,CHK-001,Transport
TX-1141,2025-06-18,RMV card payment,RMV,-17.12,EUR,8892.53,CHK-001,Transport
TX-1140,2025-06-19,EDEKA card payment,EDEKA,-27.84,EUR,8909.65,CHK-001,Groceries
TX-1149,2025-06-20,SUSHI BAR card payment,SUSHI BAR,-31.2,EUR,8665.87,CHK-001,Dining
TX-1134,2025-06-25,BURGER HOUSE card payment,BURGER HOUSE,-26.35,EUR,9088.36,CHK-001,Dining
TX-1145,2025-06-25,COFFEE SHOP card payment,COFFEE SHOP,-37.4,EUR,8793.78,CHK-001,Dining
TX-1139,2025-06-26,Uber card payment,Uber,-67.74,EUR,8937.49,CHK-001,Transport
TX-1131,2025-06-28,MONTHLY ACCOUNT FEE recurring payment,MONTHLY ACCOUNT FEE,-7.9,EUR,9199.04,CHK-001,Bank Fees
